time,x,y,z
1781180479.9000106,34.837350249290466,-65.13556092977524,-930.2376508712769
1781180479.9310117,34.81191769242287,-65.04692882299423,-929.8225045204163
1781180479.9623253,34.80429947376251,-65.0629997253418,-929.5110106468201
1781180479.9933612,34.82550010085106,-65.06837159395218,-929.6741485595703
1781180480.023937,34.85533222556114,-65.08417427539825,-929.7518730163574
1781180480.0547287,34.829314798116684,-65.0164857506752,-929.6725392341614
1781180480.0857022,34.77806597948074,-64.91860002279282,-929.326057434082
1781180480.117012,34.843143075704575,-64.88607078790665,-929.0668964385986
1781180480.14836,34.829359501600266,-64.95979428291321,-929.369866847992
1781180480.177783,34.826092422008514,-65.00562280416489,-929.4559359550476
1781180480.2088506,34.82002392411232,-64.98201191425323,-929.4508099555969
1781180480.240719,34.83624756336212,-65.03304839134216,-929.8139214515686
1781180480.2714186,34.847766160964966,-65.03401696681976,-929.938793182373
1781180480.3023822,34.90220010280609,-64.99751657247543,-929.8576712608337
1781180480.333515,34.84583646059036,-65.02749025821686,-929.8713803291321
1781180480.3647413,34.770842641592026,-65.00854343175888,-929.8149943351746
1781180480.3962903,34.82148423790932,-64.99629467725754,-930.0103783607483
1781180480.4278915,34.863777458667755,-65.03470987081528,-929.8725128173828
1781180480.4596426,34.86062213778496,-65.04359096288681,-929.8386573791504
1781180480.4910161,34.86674651503563,-65.04210084676743,-930.0130009651184
1781180480.5225444,34.836918115615845,-65.09120762348175,-930.071771144867
1781180480.5532413,34.817978739738464,-64.98348712921143,-929.9731254577637
1781180480.583982,34.84976664185524,-64.98120725154877,-929.7383427619934
1781180480.616136,34.85549986362457,-64.98410552740097,-929.7263622283936
1781180480.647878,34.86410528421402,-65.09256362915039,-930.0057291984558
1781180480.678815,34.85136479139328,-65.10865688323975,-930.0122261047363
1781180480.710171,34.854043275117874,-65.0634691119194,-930.1217794418335
1781180480.7420475,34.89033505320549,-65.09814411401749,-930.1502108573914
1781180480.7725787,34.88835319876671,-65.11788070201874,-930.2905797958374
1781180480.8031397,34.91688147187233,-65.0901347398758,-930.057942867279
1781180480.8332863,34.868646413087845,-65.03593921661377,-929.8645853996277
1781180480.8646672,34.84160080552101,-65.00834226608276,-929.7094941139221
1781180480.8949203,34.866586327552795,-65.02750515937805,-929.8567175865173
1781180480.925536,34.862808883190155,-65.00498205423355,-929.6828508377075
1781180480.9556713,34.81322526931763,-64.9934783577919,-929.4492602348328
1781180480.9868336,34.843262284994125,-65.0322288274765,-929.7711849212646
1781180481.017755,34.831080585718155,-65.06773084402084,-929.854691028595
1781180481.0486758,34.871116280555725,-65.02901762723923,-929.8814535140991
1781180481.079562,34.87122058868408,-64.99981880187988,-929.5235872268677
1781180481.1103272,34.799568355083466,-64.98448550701141,-929.4238090515137
1781180481.1416943,34.810870885849,-64.97731059789658,-929.5668601989746
1781180481.1724772,34.807782620191574,-64.97474759817123,-929.7282695770264
1781180481.203831,34.779973328113556,-65.04692137241364,-929.7081828117371
1781180481.2356563,34.8665826022625,-65.0278627872467,-929.9561977386475
1781180481.266621,34.8573736846447,-65.05464762449265,-930.0721287727356
1781180481.2982948,34.869469702243805,-65.08323550224304,-930.2434921264648
1781180481.329195,34.857362508773804,-65.03252685070038,-930.0256967544556
1781180481.360474,34.88611429929733,-65.01193344593048,-929.9414157867432
1781180481.391498,34.875910729169846,-65.00524282455444,-929.9005270004272
1781180481.4216895,34.88907590508461,-65.01556932926178,-929.9798607826233
1781180481.452789,34.859798848629,-65.01948088407516,-930.0057291984558
1781180481.4844067,34.82762724161148,-65.00373035669327,-929.8551678657532
1781180481.5149622,34.85879302024841,-65.0283545255661,-929.8413991928101
1781180481.5465186,34.858476370573044,-65.00593572854996,-929.702639579773
1781180481.5771213,34.867238253355026,-65.008245408535,-929.7841191291809
1781180481.60832,34.85879302024841,-65.01823663711548,-929.896354675293
1781180481.639867,34.84288975596428,-65.05801528692245,-929.9979209899902
1781180481.6710622,34.86701846122742,-65.0373250246048,-929.9718141555786
1781180481.701928,34.9152572453022,-65.01772999763489,-929.8005104064941
1781180481.733372,34.875769168138504,-65.05969911813736,-929.8571348190308
1781180481.7648597,34.83067452907562,-65.10107964277267,-929.9421310424805
1781180481.7962487,34.83758494257927,-65.00896066427231,-929.7786951065063
1781180481.8270347,34.8467230796814,-65.07638841867447,-930.0063848495483
1781180481.8574443,34.841086715459824,-65.07149338722229,-929.7627806663513
1781180481.8886573,34.828655421733856,-64.99911844730377,-929.3320775032043
1781180481.919772,34.80493649840355,-64.90189582109451,-929.144024848938
1781180481.9512637,34.81731563806534,-64.9704560637474,-929.3879270553589
1781180481.9826117,34.81967747211456,-64.95838612318039,-929.4517636299133
1781180482.0140586,34.82263535261154,-65.0206133723259,-929.6524524688721
1781180482.04504,34.822918474674225,-65.03408402204514,-929.7907948493958
1781180482.0757174,34.805573523044586,-64.99278545379639,-929.733157157898
1781180482.106768,34.87186133861542,-64.99456614255905,-929.734468460083
1781180482.1378424,34.86965224146843,-64.96891379356384,-929.6915531158447
1781180482.1687672,34.8438136279583,-64.97050076723099,-929.6705722808838
1781180482.2000422,34.88495200872421,-64.9898499250412,-929.6421408653259
1781180482.2318554,34.867528825998306,-65.04661589860916,-929.9246668815613
1781180482.2622488,34.83809530735016,-65.04477560520172,-929.9735426902771
